class_id,label
1,black+footed+albatross
2,laysan+albatross
3,sooty+albatross
4,groove+billed+ani
5,crested+auklet
6,least+auklet
7,parakeet+auklet
8,rhinoceros+auklet
9,brewer+blackbird
10,red+winged+blackbird
11,rusty+blackbird
12,yellow+headed+blackbird
13,bobolink
14,indigo+bunting
15,lazuli+bunting
16,painted+bunting
17,cardinal
18,spotted+catbird
19,gray+catbird
20,yellow+breasted+chat
21,eastern+towhee
22,chuck+will+widow
23,brandt+cormorant
24,red+faced+cormorant
25,pelagic+cormorant
26,bronzed+cowbird
27,shiny+cowbird
28,brown+creeper
29,american+crow
30,fish+crow
31,black+billed+cuckoo
32,mangrove+cuckoo
33,yellow+billed+cuckoo
34,gray+crowned+rosy+finch
35,purple+finch
36,northern+flicker
37,acadian+flycatcher
38,great+crested+flycatcher
39,least+flycatcher
40,olive+sided+flycatcher
41,scissor+tailed+flycatcher
42,vermilion+flycatcher
43,yellow+bellied+flycatcher
44,frigatebird
45,northern+fulmar
46,gadwall
47,american+goldfinch
48,european+goldfinch
49,boat+tailed+grackle
50,eared+grebe
51,horned+grebe
52,pied+billed+grebe
53,western+grebe
54,blue+grosbeak
55,evening+grosbeak
56,pine+grosbeak
57,rose+breasted+grosbeak
58,pigeon+guillemot
59,california+gull
60,glaucous+winged+gull
61,heermann+gull
62,herring+gull
63,ivory+gull
64,ring+billed+gull
65,slaty+backed+gull
66,western+gull
67,anna+hummingbird
68,ruby+throated+hummingbird
69,rufous+hummingbird
70,green+violetear
71,long+tailed+jaeger
72,pomarine+jaeger
73,blue+jay
74,florida+jay
75,green+jay
76,dark+eyed+junco
77,tropical+kingbird
78,gray+kingbird
79,belted+kingfisher
80,green+kingfisher
81,pied+kingfisher
82,ringed+kingfisher
83,white+breasted+kingfisher
84,red+legged+kittiwake
85,horned+lark
86,pacific+loon
87,mallard
88,western+meadowlark
89,hooded+merganser
90,red+breasted+merganser
91,mockingbird
92,nighthawk
93,clark+nutcracker
94,white+breasted+nuthatch
95,baltimore+oriole
96,hooded+oriole
97,orchard+oriole
98,scott+oriole
99,ovenbird
100,brown+pelican
101,white+pelican
102,western+wood+pewee
103,sayornis
104,american+pipit
105,whip+poor+will
106,horned+puffin
107,common+raven
108,white+necked+raven
109,american+redstart
110,geococcyx
111,loggerhead+shrike
112,great+grey+shrike
113,baird+sparrow
114,black+throated+sparrow
115,brewer+sparrow
116,chipping+sparrow
117,clay+colored+sparrow
118,house+sparrow
119,field+sparrow
120,fox+sparrow
121,grasshopper+sparrow
122,harris+sparrow
123,henslow+sparrow
124,le+conte+sparrow
125,lincoln+sparrow
126,nelson+sharp+tailed+sparrow
127,savannah+sparrow
128,seaside+sparrow
129,song+sparrow
130,tree+sparrow
131,vesper+sparrow
132,white+crowned+sparrow
133,white+throated+sparrow
134,cape+glossy+starling
135,bank+swallow
136,barn+swallow
137,cliff+swallow
138,tree+swallow
139,scarlet+tanager
140,summer+tanager
141,artic+tern
142,black+tern
143,caspian+tern
144,common+tern
145,elegant+tern
146,forsters+tern
147,least+tern
148,green+tailed+towhee
149,brown+thrasher
150,sage+thrasher
151,black+capped+vireo
152,blue+headed+vireo
153,philadelphia+vireo
154,red+eyed+vireo
155,warbling+vireo
156,white+eyed+vireo
157,yellow+throated+vireo
158,bay+breasted+warbler
159,black+and+white+warbler
160,black+throated+blue+warbler
161,blue+winged+warbler
162,canada+warbler
163,cape+may+warbler
164,cerulean+warbler
165,chestnut+sided+warbler
166,golden+winged+warbler
167,hooded+warbler
168,kentucky+warbler
169,magnolia+warbler
170,mourning+warbler
171,myrtle+warbler
172,nashville+warbler
173,orange+crowned+warbler
174,palm+warbler
175,pine+warbler
176,prairie+warbler
177,prothonotary+warbler
178,swainson+warbler
179,tennessee+warbler
180,wilson+warbler
181,worm+eating+warbler
182,yellow+warbler
183,northern+waterthrush
184,louisiana+waterthrush
185,bohemian+waxwing
186,cedar+waxwing
187,american+three+toed+woodpecker
188,pileated+woodpecker
189,red+bellied+woodpecker
190,red+cockaded+woodpecker
191,red+headed+woodpecker
192,downy+woodpecker
193,bewick+wren
194,cactus+wren
195,carolina+wren
196,house+wren
197,marsh+wren
198,rock+wren
199,winter+wren
200,common+yellowthroat
